frameIndex;frameTime;pcm_LOGenergy
198;1.980000;-4.445596e+00
199;1.990000;-4.381284e+00
200;2.000000;-4.308532e+00
201;2.010000;-4.339562e+00
202;2.020000;-4.593834e+00
203;2.030000;-4.939291e+00
204;2.040000;-5.205079e+00
205;2.050000;-5.214489e+00
206;2.060000;-5.297199e+00
207;2.070000;-5.360939e+00
208;2.080000;-5.342968e+00
209;2.090000;-5.809645e+00
210;2.100000;-6.865754e+00
211;2.110000;-7.731128e+00
212;2.120000;-8.636993e+00
213;2.130000;-1.028892e+01
214;2.140000;-1.108767e+01
215;2.150000;-1.011319e+01
216;2.160000;-7.329705e+00
217;2.170000;-6.435547e+00
218;2.180000;-3.984138e+00
219;2.190000;-3.392172e+00
220;2.200000;-3.385804e+00
221;2.210000;-4.021870e+00
222;2.220000;-4.849901e+00
223;2.230000;-5.961628e+00
224;2.240000;-7.304575e+00
225;2.250000;-1.016937e+01
226;2.260000;-1.098320e+01
227;2.270000;-1.258731e+01
228;2.280000;-1.411531e+01
229;2.290000;-1.458142e+01
230;2.300000;-1.490661e+01
231;2.310000;-1.507116e+01
232;2.320000;-1.529079e+01
233;2.330000;-1.071222e+01
234;2.340000;-7.202602e+00
235;2.350000;-5.249666e+00
236;2.360000;-4.660482e+00
237;2.370000;-4.760764e+00
238;2.380000;-5.464169e+00
239;2.390000;-5.860336e+00
240;2.400000;-5.809072e+00
241;2.410000;-5.759256e+00
242;2.420000;-6.155448e+00
243;2.430000;-7.368311e+00
244;2.440000;-1.047547e+01
245;2.450000;-1.224616e+01
246;2.460000;-1.389897e+01
247;2.470000;-1.465595e+01
248;2.480000;-1.495495e+01
249;2.490000;-1.464777e+01
250;2.500000;-1.288754e+01
251;2.510000;-1.058323e+01
252;2.520000;-1.044850e+01
253;2.530000;-1.060646e+01
254;2.540000;-1.016515e+01
255;2.550000;-9.154780e+00
256;2.560000;-6.102611e+00
257;2.570000;-4.229357e+00
258;2.580000;-3.775608e+00
259;2.590000;-3.879519e+00
260;2.600000;-4.499458e+00
261;2.610000;-4.799783e+00
262;2.620000;-4.651734e+00
263;2.630000;-4.575758e+00
264;2.640000;-4.675592e+00
265;2.650000;-4.797959e+00
266;2.660000;-5.009737e+00
267;2.670000;-5.470881e+00
268;2.680000;-6.222631e+00
269;2.690000;-6.750365e+00
270;2.700000;-6.950283e+00
271;2.710000;-6.648233e+00
272;2.720000;-5.390541e+00
273;2.730000;-4.188655e+00
274;2.740000;-3.718798e+00
275;2.750000;-3.690559e+00
276;2.760000;-4.093854e+00
277;2.770000;-4.300045e+00
278;2.780000;-4.572945e+00
279;2.790000;-4.844728e+00
280;2.800000;-5.167535e+00
281;2.810000;-5.745153e+00
282;2.820000;-6.450286e+00
283;2.830000;-6.769527e+00
284;2.840000;-6.589089e+00
285;2.850000;-6.401955e+00
286;2.860000;-5.707928e+00
287;2.870000;-4.950015e+00
288;2.880000;-4.410070e+00
289;2.890000;-4.462251e+00
290;2.900000;-5.147497e+00
291;2.910000;-5.561762e+00
292;2.920000;-5.793066e+00
293;2.930000;-6.153392e+00
294;2.940000;-6.836163e+00
295;2.950000;-8.931510e+00
296;2.960000;-9.373681e+00
297;2.970000;-9.385777e+00
298;2.980000;-7.890130e+00
299;2.990000;-6.244147e+00
300;3.000000;-5.335477e+00
301;3.010000;-5.063226e+00
302;3.020000;-5.223926e+00
303;3.030000;-5.422659e+00
304;3.040000;-4.962202e+00
305;3.050000;-4.675059e+00
306;3.060000;-4.813241e+00
307;3.070000;-4.903898e+00
308;3.080000;-3.832095e+00
309;3.090000;-3.562516e+00
310;3.100000;-3.900312e+00
311;3.110000;-4.520641e+00
312;3.120000;-4.904830e+00
313;3.130000;-5.544108e+00
314;3.140000;-6.356142e+00
315;3.150000;-6.290461e+00
316;3.160000;-6.288022e+00
317;3.170000;-6.429593e+00
318;3.180000;-6.683130e+00
319;3.190000;-6.998932e+00
320;3.200000;-7.360935e+00
321;3.210000;-7.654037e+00
322;3.220000;-7.351908e+00
323;3.230000;-5.874351e+00
324;3.240000;-4.581698e+00
325;3.250000;-3.965084e+00
326;3.260000;-3.990951e+00
327;3.270000;-4.581462e+00
328;3.280000;-5.111915e+00
329;3.290000;-5.397449e+00
330;3.300000;-5.840001e+00
331;3.310000;-7.016526e+00
332;3.320000;-8.145365e+00
333;3.330000;-9.013080e+00
334;3.340000;-8.893353e+00
335;3.350000;-8.858546e+00
336;3.360000;-8.668677e+00
337;3.370000;-8.041889e+00
338;3.380000;-7.527141e+00
339;3.390000;-7.154273e+00
340;3.400000;-6.751540e+00
341;3.410000;-6.455307e+00
342;3.420000;-6.079436e+00
343;3.430000;-6.060403e+00
344;3.440000;-6.317791e+00
345;3.450000;-7.188536e+00
346;3.460000;-7.294873e+00
347;3.470000;-7.476104e+00
348;3.480000;-6.503659e+00
349;3.490000;-6.040221e+00
350;3.500000;-5.795298e+00
351;3.510000;-5.763920e+00
352;3.520000;-5.961775e+00
353;3.530000;-5.932793e+00
354;3.540000;-6.157206e+00
355;3.550000;-6.017717e+00
356;3.560000;-6.283231e+00
357;3.570000;-6.853721e+00
358;3.580000;-7.861791e+00
359;3.590000;-8.945260e+00
360;3.600000;-9.907691e+00
361;3.610000;-1.145626e+01
362;3.620000;-1.417745e+01
363;3.630000;-9.013115e+00
364;3.640000;-6.043984e+00
